title,genre,producer,country,year,rating_url
Люди Икс (фильм),Боевик (киножанр),"Сингер, Брайан",Соединённые Штаты Америки,2000,https://www.imdb.com/title/tt0120903/
"Лучший друг (фильм, 2000)",Кинокомедия,"Шлезингер, Джон",США,2000,https://www.imdb.com/title/tt0156841/
Лучший подарок на Рождество,Детский фильм,en:Greg Beeman,,,https://www.imdb.com/title/tt0256466/
Лицо французской национальности,Криминальная комедия,"Хотиненко, Илья Владимирович",Россия,,https://www.imdb.com/title/tt1111811/
Леди Казахстан,Драма (жанр),"Астрахан, Дмитрий Хананович",Россия,2000,https://www.imdb.com/title/tt0248130/
Легенда Багера Ванса,Драма (жанр),"Редфорд, Роберт",Кинематограф США,2000,https://www.imdb.com/title/tt0146984/
Каннибал! Мюзикл,Комедия,"Паркер, Трей",,1996,https://www.imdb.com/title/tt0115819/
Лающие собаки никогда не кусают,Драматический фильм,,,,https://www.imdb.com/title/tt0269743/
Кама Сутра: История любви,Драма (жанр),"Наир, Мира",,1996,https://www.imdb.com/title/tt0116743/
"Камера (фильм, 1996)",Драматический фильм,"Фоули, Джеймс",США,1996,https://www.imdb.com/title/tt0115862/
Как я обсуждал... (мою сексуальную жизнь),,Арно Деплешен,Франция,1996,https://www.imdb.com/title/tt0115928/
Как удержаться на плаву,Триллер,"Уилсон, Джим (продюсер) (страница отсутствует)",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116502/
"Кавказский пленник (фильм, 1996)",Драма (жанр),"Бодров, Сергей Владимирович",Россия,1996,https://www.imdb.com/title/tt0116754/
Канзас-Сити (фильм),,Роберт Олтмен,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116745/
Индийский наследник английской семьи,Романтический фильм,,Индия,1996,https://www.imdb.com/title/tt0136153/
Итальянские любовники,Кинокомедия,"Болонья, Джозеф (страница отсутствует)",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116928/
Их поменяли телами,,,Австралия,1996,https://www.imdb.com/title/tt0116036/
Кабельщик,Чёрный юмор,"Стиллер, Бен",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0115798/
Ирма Веп (фильм),Драма (жанр),"Ассаяс, Оливье",,1996,https://www.imdb.com/title/tt0116650/
Иногда они возвращаются… снова,Фильм ужасов,,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0117692/
Из ада в ад,Драма (жанр),"Астрахан, Дмитрий Хананович",Россия,1996,https://www.imdb.com/title/tt0116368/
Импотент (фильм),Кинокомедия,Анатолий Эйрамджан,Россия,1996,https://www.imdb.com/title/tt0116617/
Индиец (фильм),Боевик (киножанр),Шанмугам Шанкар (страница отсутствует),Индия,1996,https://www.imdb.com/title/tt0116630/
Зловещая луна,Фильм ужасов,,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0115610/
Извращённая страсть,Триллер,Крэйг Баксли (страница отсутствует),,,https://www.imdb.com/title/tt0117995/
"Земля (фильм, 1996)",Драма (жанр),"Медем, Хулио",Испания,1996,https://www.imdb.com/title/tt0117909/
"Звезда шерифа (фильм, 1996)",Вестерн,"Сэйлз, Джон",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116905/
Звёздный путь: Первый контакт,Научная фантастика,Джонатан Фрэйкс,Кинематограф США,1996,https://www.imdb.com/title/tt0117731/
Зал ожидания (короткометражный фильм),Короткометражка,Йос Стеллинг,Германия,1996,https://www.imdb.com/title/tt0114884/
Записки у изголовья (фильм),Драма (жанр),"Гринуэй, Питер",Франция,1996,https://www.imdb.com/title/tt0114134/
Зазель,Порнофильм,Филип Монд (страница отсутствует),,,https://www.imdb.com/title/tt0157204/
"Замена (фильм, 1996)",Боевик (киножанр),"Мэндел, Роберт (страница отсутствует)",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0117774/
Запёкшаяся кровь,Триллер,,Флаг США,1996,https://www.imdb.com/title/tt0115994/
"Загадай желание (фильм, 1996)",Кинокомедия,,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0118178/
Заводила,Кинокомедия,Братья Фаррелли,Кинематограф США,1996,https://www.imdb.com/title/tt0116778/
"Жена священника (фильм, 1996)",Комедия,,Кинематограф США,1996,https://www.imdb.com/title/tt0117372/
Ермак (фильм),Исторический фильм,"Усков, Валерий Иванович",Союз Советских Социалистических Республик,,https://www.imdb.com/title/tt0126894/
Екатерина Великая (фильм),,"Чомски, Марвин Джей (страница отсутствует)",Флаг Германии,1996,https://www.imdb.com/title/tt0112031/
Если Люси упадёт,Комедия,Эрик Шеффер (страница отсутствует),Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116606/
Жестяной кубок,Мелодрама (жанр),"Шелтон, Рон",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0117918/
Женщина-арбуз,Кинокомедия,"Дунье, Шерил",Кинематограф США,1996,https://www.imdb.com/title/tt0118125/
"Дядя Сэм (фильм, 1996)",Фильм ужасов,Уильям Лустиг,,,https://www.imdb.com/title/tt0118025/
Друзья и любовники,Драма (жанр),,Великобритания,1996,https://www.imdb.com/title/tt0115741/
"Дьяволицы (фильм, 1996)",Триллер,Джеремайя Чечик,США,1996,https://www.imdb.com/title/tt0116095/
Драгоценная находка,Приключенческий фильм,,,,https://www.imdb.com/title/tt0117373/
Дрожь земли 2: Повторный удар,Кинокомедия,"Уилсон, С. С. (страница отсутствует)",Кинематограф США,1996,https://www.imdb.com/title/tt0114720/
Дорога домой 2: Затерянные в Сан-Франциско,,"Эллис, Дэвид Ричард",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116552/
Домашний арест (фильм),Кинокомедия,,,1996,https://www.imdb.com/title/tt0116571/
Дорогой Боженька,Кинокомедия,"Маршалл, Гарри",,,https://www.imdb.com/title/tt0116059/
Дом проклятых,,,,,https://www.imdb.com/title/tt0116573/
Долгий поцелуй на ночь,Боевик (киножанр),Ренни Харлин,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116908/
Джуд (фильм),Драма (жанр),Майкл Уинтерботтом,Великобритания,1996,https://www.imdb.com/title/tt0116722/
Дикие животные (фильм),Драма (жанр),Ким Ки Дук,Республика Корея,1996,https://www.imdb.com/title/tt0190882/
Дипломная работа (фильм),Триллер,"Аменабар, Алехандро",Испания,1996,https://www.imdb.com/title/tt0117883/
Джерри Магуайер,Спортивный фильм,"Кроу, Кэмерон",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116695/
"Дневной свет (фильм, 1996)",Фильм-катастрофа,Роб Коэн,Кинематограф США,1996,https://www.imdb.com/title/tt0116040/
Дилер (фильм),Криминальная драма,"Рефн, Николас Виндинг",Дания,1996,https://www.imdb.com/title/tt0117407/
"Джейн Эйр (фильм, 1996)",Мелодрама,,,1996,https://www.imdb.com/title/tt0116684/
Дети кукурузы 4: Сбор урожая,Фильм ужасов,,,1996,https://www.imdb.com/title/tt0115885/
День восьмой,Драма (жанр),"Ван Дормаль, Жако",Бельгия,1996,https://www.imdb.com/title/tt0116581/
Дельта (фильм),Драма (жанр),"Сакс, Айра",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116070/
Девушка № 6,Кинокомедия,Спайк Ли,,,https://www.imdb.com/title/tt0116414/
"День независимости (фильм, 1996)",Кинофантастика,"Эммерих, Роланд",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116629/
Дело — труба,Драма (жанр),"Херман, Марк",Великобритания,1996,https://www.imdb.com/title/tt0115744/
"Дети революции (фильм, 1996)",Трагикомедия,"Данкан, Питер (страница отсутствует)",Австралия,1996,https://www.imdb.com/title/tt0115886/
Девочка Никто,Драма (жанр),"Вайда, Анджей",Польша,1996,https://www.imdb.com/title/tt0117286/
Двое у моря,Кинокомедия,Билл Беннетт,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0118002/
Два дня в долине,Криминальный фильм,,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0115438/
"Двенадцатая ночь (фильм, 1996)",Кинокомедия,"Нанн, Тревор",Великобритания,1996,https://www.imdb.com/title/tt0117991/
Дантист (фильм),Фильм ужасов,"Юзна, Брайан",США,1996,https://www.imdb.com/title/tt0116075/
Гражданка Рут,Комедийная драма,"Пэйн, Александр",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0115906/
"Давайте потанцуем? (фильм, 1996)",Кинокомедия,"Суо, Масаюки",,,https://www.imdb.com/title/tt0117615/
"Герой-одиночка (фильм, 1996)",Боевик (киножанр),"Хилл, Уолтер",,,https://www.imdb.com/title/tt0116830/
"Гамлет (фильм, 1996)",Драматический фильм,Кеннет Брана,Великобритания,,https://www.imdb.com/title/tt0116477/
Газонокосильщик 2: За пределами киберпространства,Кинофантастика,Фархад Мэнн (страница отсутствует),Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116839/
Гамера 2: Нападение космического легиона,Кинофантастика,"Канэко, Сюсукэ (страница отсутствует)",Япония,,https://www.imdb.com/title/tt0116390/
Выход в красное,Драма (жанр),en:Yurek Bogayevicz,Кинематограф США,1996,https://www.imdb.com/title/tt0116257/
"Вызов (фильм, 1996)",Драма (жанр),"Грей, Феликс Гэри",,1996,https://www.imdb.com/title/tt0117603/
Вход к тигру,Комедия-драма,Шу Кэй (страница отсутствует),Кинематограф Гонконга,1996,https://www.imdb.com/title/tt0116576/
"Выкуп (фильм, 1996)",Триллер,"Ховард, Рон",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0117438/
Всё взаимно,Мелодрама,Шерон Поллак (страница отсутствует),Кинематограф США,,https://www.imdb.com/title/tt0116245/
"Все говорят, что я люблю тебя",Кинокомедия,Вуди Аллен,Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116242/
Божьи коровки (фильм),Кинокомедия,"Фьюри, Сидни",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0104670/
"Враг общества № 1 (фильм, 1996)",Биографический фильм,,,,https://www.imdb.com/title/tt0114202/
"Время убивать (фильм, 1996)",Триллер,"Шумахер, Джоэл",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0117913/
Время бешеных псов,Криминальная драма,"Бишоп, Лэрри (страница отсутствует)",Соединённые Штаты Америки,1996,https://www.imdb.com/title/tt0116953/
Боб Робертс,Сатира,"Роббинс, Тим",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0103850/
Ближний круг,Драма (жанр),"Кончаловский, Андрей Сергеевич",,,https://www.imdb.com/title/tt0103838/
Близнецы-драконы,Кинокомедия,"Лам, Ринго",Гонконг,1992,https://www.imdb.com/title/tt0105399/
"Билет в красный театр, или Смерть гробокопателя",,Амурбек Гобашиев (страница отсутствует),Союз Советских Социалистических Республик,1992,https://www.imdb.com/title/tt0103814/
Бетти (фильм),Драма (жанр),"Шаброль, Клод",,1992,https://www.imdb.com/title/tt0103800/
"Бесы (фильм, 1992)",Драма (жанр),"Таланкин, Игорь Васильевич",Россия,1992,https://www.imdb.com/title/tt0103799/
Бетховен (фильм),Кинокомедия,en:Brian Levant,Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0103786/
"Благие намерения (фильм, 1992)",Драма (жанр),"Аугуст, Билле",,,https://www.imdb.com/title/tt0104350/
"Бензин, еда, жильё",Мелодрама,"Андерс, Эллисон",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0104321/
Белые пески (фильм),Детективный фильм,"Дональдсон, Роджер",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0105813/
"Белый король, красная королева",Мелодрама,"Бодров, Сергей Владимирович",Россия,1992,https://www.imdb.com/title/tt0103792/
Безумный рейс,Кинокомедия,,Россия,1992,https://www.imdb.com/title/tt0312478/
Бешеные псы,Поп-рок,"Тарантино, Квентин",Соединённые Штаты Америки,,https://www.imdb.com/title/tt0105236/
"Белые ночи (фильм, 1992)",Драма (жанр),"Квинихидзе, Леонид Александрович",Россия,1992,https://www.imdb.com/title/tt0312456/
Безумные подмостки,Кинокомедия,"Богданович, Питер",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0105017/
Белые люди не умеют прыгать,Кинокомедия,Рон Шелтон,Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0105812/
Безумное лето на море!,Кинокомедия,Морис Мэрфи (страница отсутствует),Австралия,1992,https://www.imdb.com/title/tt0105801/
Безумные годы (серия фильмов),,"Чалич, Зоран",,,
"Безумная любовь (фильм, 1992)",Мелодрама,Радж Канвар (страница отсутствует),Индия,1992,https://www.imdb.com/title/tt0126871/
"Без ума от оружия (фильм, 1992)",Драма (жанр),Тамра Дэвис,Кинематограф США,,https://www.imdb.com/title/tt0104377/
Беглец среди нас,Криминальный фильм,Майкл Тошиюки Уно (страница отсутствует),Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0104311/
Без промахов,Кинокомедия,"Тейлор, Баз (страница отсутствует)",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0104976/
Беглый огонь (фильм),Боевик (киножанр),"Литтл, Дуайт (страница отсутствует)",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0105219/
Бег по солнечной стороне,Драма (жанр),"Кавун, Олег Николаевич (страница отсутствует)",Россия,,https://www.imdb.com/title/tt0312440/
Баффи — истребительница вампиров,Фильм ужасов,,,,https://www.imdb.com/title/tt0103893/
Барака (фильм),Документальный фильм,"Фрике, Рон",,1992,https://www.imdb.com/title/tt0103767/
Балтийская любовь,Мелодрама,,,1992,https://www.imdb.com/title/tt0182760/
"Ариэль (фильм, 1992)",Драма (жанр),"Котов, Евгений Сергеевич (кинематографист)",Россия,1992,https://www.imdb.com/title/tt0312378/
Ангел с ружьём,Драматический фильм,,,,https://www.imdb.com/title/tt0103691/
"Анкор, ещё анкор! (фильм)",Драма (жанр),"Тодоровский, Пётр Ефимович",Россия,,https://www.imdb.com/title/tt0103698/
"Анима мунди (фильм, 1992)",Документальный фильм,"Реджио, Годфри",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0101349/
Армия тьмы,Комедийный фильм ужасов,"Рэйми, Сэм",Соединённые Штаты Америки,,https://www.imdb.com/title/tt0106308/
Арбитр (фильм),Детективный фильм,"Охлобыстин, Иван Иванович",Россия,1992,https://www.imdb.com/title/tt0103712/
Амитивилль 6: Проклятые часы,Фильм ужасов,"Рэндл, Тони (страница отсутствует)",Соединённые Штаты Америки,,https://www.imdb.com/title/tt0103678/
Американцы (фильм),Драма (жанр),"Фоули, Джеймс",США,1992,https://www.imdb.com/title/tt0104348/
Америкэн бой,Детективный фильм,"Квашнёв, Борис Леонидович (страница отсутствует)",Украина,1992,https://www.imdb.com/title/tt0103668/
Американское сердце,Драма (жанр),"Белл, Мартин (страница отсутствует)",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0103670/
"Аляска, сэр!",,"Ребров, Вячеслав Степанович (страница отсутствует)",Россия,1992,https://www.imdb.com/title/tt0103660/
Американский самурай,Боевик (киножанр),"Ферстенберг, Сэм",США,1992,https://www.imdb.com/title/tt0106258/
Алиса и Букинист,Мелодрама,"Рудаков, Алексей Петрович (страница отсутствует)",Россия,1992,https://www.imdb.com/title/tt0103647/
Агент по имени Далила,Триллер,Ричард Франклин,Флаг США,1992,https://www.imdb.com/title/tt0111035/
Аккомпаниаторша,Драма (жанр),"Миллер, Клод",Флаг Франции,1992,https://www.imdb.com/title/tt0103616/
Авторитет (фильм),Blaxploitation,"Дикерсон, Эрнест",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0104573/
1991: The Year Punk Broke,Документальное кино,,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0103595/
1492: Завоевание рая,Драма (жанр),"Скотт, Ридли",Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0103594/
Американизируй меня,Драма (жанр),Эдвард Джеймс Олмос,Соединённые Штаты Америки,1992,https://www.imdb.com/title/tt0103671/
4 листа фанеры,Детектив,"Гаврилюк, Иван Ярославович",Украина,1992,https://www.imdb.com/title/tt6571730/
В сумерках,d:Q20442589,,,,https://www.imdb.com/title/tt0119362/
В той стране,Драма (жанр),Лидия Боброва,Россия,1997,https://www.imdb.com/title/tt0137251/
В открытом море,Романтическая комедия,"Кулидж, Марта",Соединённые Штаты Америки,,https://www.imdb.com/title/tt0119848/
В присутствии клоуна,Драма (жанр),Ингмар Бергман,Швеция,1997,https://www.imdb.com/title/tt0119496/
В зимней спячке (фильм),"Драма, триллер (страница отсутствует)","Тыквер, Том",Германия,1997,https://www.imdb.com/title/tt0120522/
В погоне за Эми,Комедийная драма,"Смит, Кевин",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118842/
"В компании мужчин (фильм, 1997)",Драма (жанр),"Лабут, Нил",Канада,1997,https://www.imdb.com/title/tt0119361/
"Быстро, дёшево и неуправляемо",Документальный фильм,Эррол Моррис,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0119107/
Брат нашего Бога,Драма (жанр),"Занусси, Кшиштоф",Польша,,https://www.imdb.com/title/tt0119846/
Ботанический сад (фильм),Драма (жанр),"Гостюхин, Владимир Васильевич",Белоруссия,1997,https://www.imdb.com/title/tt0135814/
"Бродяги (фильм, 1997)",Драматический фильм,,,,https://www.imdb.com/title/tt0149171/
Большая Америка,Документальный фильм,Майкл Мур,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0124295/
"Боксёр (фильм, 1997)",Драма (жанр),Джим Шеридан,Ирландия,,https://www.imdb.com/title/tt0118760/
"Блаженство (фильм, 1997)",Драма (жанр),,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118742/
Бэтмен и Робин (фильм),Супергеройский фильм,"Шумахер, Джоэл",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118688/
Благодетель (фильм),Драма (жанр),Фрэнсис Форд Коппола,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0119978/
Билет (фильм),Драма (жанр),"Купер, Стюарт",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0120330/
"Брат (фильм, 1997)",Криминальная драма,"Балабанов, Алексей Октябринович",Россия,,https://www.imdb.com/title/tt0118767/
"Бессонница (фильм, 1997)",Драма (жанр),Эрик Шёлдбьерг,Норвегия,1997,https://www.imdb.com/title/tt0119375/
Безумный город (фильм),Драма (жанр),Коста-Гаврас,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0119592/
Беспечные близнецы,Кинокомедия,,,1997,https://www.imdb.com/title/tt0119428/
Белоснежка: Страшная сказка,Фильм ужасов,"Кон, Майкл (страница отсутствует)",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0119227/
Бедная Саша,Кинокомедия,"Кеосаян, Тигран Эдмондович",Россия,1997,https://www.imdb.com/title/tt0135155/
"Барракуда (фильм, 1997)",Кинокомедия,"Аим, Филипп (страница отсутствует)",Франция,1997,https://www.imdb.com/title/tt0118685/
Без лица,Боевик (киножанр),"Ву, Джон",Кинематограф США,1997,https://www.imdb.com/title/tt0119094/
"Банзай (фильм, 1997)",Комедия,"Вандзина, Карло",Италия,1997,https://www.imdb.com/title/tt0125670/
"Афёры, музыка, любовь...",Комедия,"Юнгвальд-Хилькевич, Георгий Эмильевич",Россия,1997,https://www.imdb.com/title/tt0135753/
"Бандитки (фильм, 1997)",Драма (жанр),Катя фон Гарнье,Германия,1997,https://www.imdb.com/title/tt0118682/
Арлетт (фильм),Мелодрама,"Зиди, Клод",Франция,1997,https://www.imdb.com/title/tt0115567/
"Байки у костра (фильм, 1997)",Фильм ужасов,"Кунерт, Мартин (страница отсутствует)",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0115813/
Артемизия (фильм),,"Мерле, Аньес (страница отсутствует)",Франция,1997,https://www.imdb.com/title/tt0123385/
Афула Экспресс,Комедийная драма,,,,https://www.imdb.com/title/tt0134028/
"Анна Каренина (фильм, 1997)",Драма (жанр),"Роуз, Бернард",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118623/
"Апостол (фильм, 1997)",Драма (жанр),"Дюваль, Роберт",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118632/
Анаконда (фильм),Приключенческий фильм,"Льоса, Луис",Кинематограф США,1997,https://www.imdb.com/title/tt0118615/
Американский оборотень в Париже,Комедийный фильм ужасов,en:Anthony Waller,Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118604/
Амистад (фильм),Исторический фильм,,Кинематограф США,1997,https://www.imdb.com/title/tt0118607/
Американские приключения,Боевик (киножанр),"Хун, Саммо",Гонконг,1997,https://www.imdb.com/title/tt0120530/
Американские горки (фильм),Криминальная драма,"Стюарт, Джеб (сценарист)",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0119210/
Английский пациент (фильм),,"Мингелла, Энтони",,,https://www.imdb.com/title/tt0116209/
"Американка (фильм, 1997)",Драма (жанр),"Месхиев, Дмитрий Дмитриевич",Россия,1997,https://www.imdb.com/title/tt0149650/
"Авария (фильм, 1997)",Триллер,"Мостоу, Джонатан",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118771/
Адвокат дьявола (фильм),Фильм ужасов,"Хэкфорд, Тейлор",,,https://www.imdb.com/title/tt0118971/
"20 000 лье под водой (фильм, 1997)",Криминальный фильм,Род Харди (страница отсутствует),Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118248/
Андерграунд (фильм),Трагикомедия,,,,https://www.imdb.com/title/tt0114787/
4 маленькие девочки,,"Ли, Спайк",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118540/
"Абсолютная власть (фильм, 1997)",Драма (жанр),"Иствуд, Клинт",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118548/
187 (фильм),Драма (жанр),"Рейнольдс, Кевин (режиссёр)",Соединённые Штаты Америки,1997,https://www.imdb.com/title/tt0118531/
"Вдали от дома (фильм, 1989)",Триллер,,Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0097332/
В лунную ночь,Драма (жанр),"Вертмюллер, Лина",Италия,1989,https://www.imdb.com/title/tt0097574/
Вальмон (фильм),Драма (жанр),"Форман, Милош",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0098575/
В поисках Лэнгстона,Биографический фильм,,,,https://www.imdb.com/title/tt0095545/
В городе Сочи тёмные ночи,Мелодрама,"Пичул, Василий Владимирович",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0098574/
Брызги шампанского,,"Говорухин, Станислав Сергеевич",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0094807/
Бродячий автобус,Драма (жанр),"Хейфиц, Иосиф Ефимович",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0096984/
"Братья по оружию (фильм, 1989)",Боевик (киножанр),"Блум, Джордж (режиссёр) (страница отсутствует)",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0096986/
Бриллиантовые головы,Драма (жанр),,Великобритания,1989,https://www.imdb.com/title/tt0097158/
Бумажные глаза Пришвина,Драма (жанр),"Огородников, Валерий Геннадьевич",,1989,https://www.imdb.com/title/tt0096992/
Бренда Старр (фильм),Приключенческий фильм,"Миллер, Роберт (страница отсутствует)",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0096978/
Братва 2: Город крэка,Боевик (киножанр),Дэниел Мэтмор (страница отсутствует),Флаг США,1989,https://www.imdb.com/title/tt0238278/
"Бэтмен (фильм, 1989)",,"Бёртон, Тим",,1989,https://www.imdb.com/title/tt0096895/
Большой секс-скандал по-американски,Кинокомедия,Майкл Шульц (страница отсутствует),Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0099907/
Близкий друг (фильм),Драма (жанр),"Рене, Норман (страница отсутствует)",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0100049/
"Ближайший родственник (фильм, 1989)",Боевик (киножанр),"Ирвин, Джон",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0097967/
Большие огненные шары,Музыкальный фильм,"МакБрайд, Джим (страница отсутствует)",,,https://www.imdb.com/title/tt0097457/
Большой человек в университетском городке,Кинокомедия,"Каган, Джереми (страница отсутствует)",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0096925/
"Борис Годунов (фильм-опера, 1989)",Фильм-опера (страница отсутствует),"Жулавский, Анджей",Кинематограф Франции,1989,https://www.imdb.com/title/tt0096968/
Битва на Косовом поле (фильм),Исторический фильм,,Югославия,1989,https://www.imdb.com/title/tt0096966/
Биндюжник и Король,Мюзикл,"Алеников, Владимир Михайлович",Кинематограф СССР,,https://www.imdb.com/title/tt0096930/
Белая свадьба,Драма (жанр),Жан-Клод Бриссо,Франция,1989,https://www.imdb.com/title/tt0097995/
"Беспредел (фильм, 1989)",Криминальный фильм,"Гостев, Игорь Аронович",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0286502/
"Берт Ригби, ты — дурак",Кинокомедия,"Райнер, Карл",США,1989,https://www.imdb.com/title/tt0096911/
"Белая горячка (фильм, 1989)",Драма (жанр),Робби Бенсон,Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0098640/
Бесаме,Драма (жанр),"Ахвледиани, Нино Ломеровна",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0286501/
Бейбарс (фильм),Исторический фильм,Мансуров Булат Богаутдинович,Союз Советских Социалистических Республик,1989,
Безумная (фильм),Фильм ужасов,"Такач, Тибор",США,1989,https://www.imdb.com/title/tt0097557/
Без бретелек,Драма (жанр),Дэвид Хэр (страница отсутствует),Великобритания,1989,https://www.imdb.com/title/tt0098394/
Без паники,Фильм ужасов,Рубен Галиндо младший (страница отсутствует),Кинематограф Мексики,,https://www.imdb.com/title/tt0193879/
"Банкир (фильм, 1989)",Триллер,"Уэбб, Уильям (режиссёр) (страница отсутствует)",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0096889/
"Безжалостный (фильм, 1989)",Триллер,Уильям Лустиг,,,https://www.imdb.com/title/tt0098184/
Бархан (фильм),Психологическая драма,"Бабаев, Санжар Собирович (страница отсутствует)",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0309338/
"Бездна (фильм, 1989)",Кинофантастика,,Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0096754/
Байкерши в городе зомби,Чёрная комедия,Дэн Хоскинс (страница отсутствует),Кинематограф США,,https://www.imdb.com/title/tt0103959/
"Арена (фильм, 1989)",Кинофантастика,Питер Манугиан (страница отсутствует),Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0101366/
Американский ниндзя 3: Кровавая охота,Боевик (киножанр),"Сандстром, Сендрик (страница отсутствует)",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0096804/
Аптечный ковбой,Криминальная драма,"Ван Сент, Гас",Соединённые Штаты Америки,1989,https://www.imdb.com/title/tt0097240/
Астенический синдром (фильм),Драма (жанр),"Муратова, Кира Георгиевна",Союз Советских Социалистических Республик,1989,https://www.imdb.com/title/tt0096841/
"Алхимик (фильм, 1989)",Фэнтези,Яцек Копрович (страница отсутствует),Польша,,https://www.imdb.com/title/tt0099010/
Амитивилль 4: Зло спасается,Фильм ужасов,,Соединённые Штаты Америки,,https://www.imdb.com/title/tt0096808/
"Ад, или Досье на самого себя",Драматический фильм,"Беглов, Геннадий Александрович",Кинематограф СССР,1989,https://www.imdb.com/title/tt0149585/
Австрийка (фильм),Драма (жанр),"Гранье-Дефер, Пьер",Франция,1989,https://www.imdb.com/title/tt0096857/
"В западне (фильм, 1994)",Криминальный фильм,Анджела Поуп (страница отсутствует),Великобритания,1994,https://www.imdb.com/title/tt0109374/
"1939 (фильм, 1989)",Драматический фильм,Йоран Кармбак (страница отсутствует),Швеция,,https://www.imdb.com/title/tt0096737/
А был ли Каротин?,Детективный фильм,"Полока, Геннадий Иванович",Кинематограф СССР,,https://www.imdb.com/title/tt0147805/
